1. Amazon元データ 全項目解説,,,,
項目名,意味,目標数値,取るべきアクション,
キャンペーンID,元データ項目,-,-,
キャンペーン名,元データ項目,-,-,
広告グループID,元データ項目,-,-,
広告グループ名,元データ項目,-,-,
広告対象商品ID,元データ項目,-,-,
広告対象商品SKU,元データ項目,-,-,
検索用語,顧客が実際に検索したキーワード,-,分析のメイン対象,
予算の通貨,元データ項目,-,-,
期間,元データ項目,-,-,
インプレッション,表示回数。露出の強さ。,要改善なら単価UP,露出不足の解消,
クリック数,流入数。,15回売上0で除外,無駄打ちのカット,
注文された商品点数,成約数(コンバージョン),-,転換率の分析,
売上,広告経由の注文金額合計,-,収益性の確認,
購入単価,元データ項目,-,-,
合計費用,広告コスト総額,売上の20%以内,予算オーバー抑制,
CPC,平均クリック単価,-,入札価格の目安,
CTR,クリック率(クリック÷インプ),0.4%以上,画像・訴求内容の修正,
クリックによる購入率,成約率(CVR),5%以上,商品ページ/LPの改善,
ROAS,投資効率(売上÷費用),200%以上,不調なら除外 / 好調なら強化,
,,,,
,,,,
2. 楽天元データ 全項目解説,,,,
項目名,意味,目標数値,取るべきアクション,
コントロールカラム,元データ項目,-,-,
日付,元データ項目,-,-,
商品ページURL,元データ項目,-,-,
商品管理番号,楽天の商品識別ID,-,分析・バルク適用のキー,
入札単価,元データ項目,-,-,
CTR(%),クリック率,1.0%以上,サムネイル画像の修正,
商品CPC,元データ項目,-,-,
クリック数(合計),全期間の流入数合計,15回売上0で除外,無駄打ちのカット,
実績額(合計),広告費用の実支出額,売上の10%以内,コスト管理,
CPC実績(合計),1クリックあたりの平均単価,-,入札調整の目安,
売上金額(合計12時間),元データ項目,-,-,
売上件数(合計12時間),元データ項目,-,-,
CVR(合計12時間)(%),元データ項目,-,-,
ROAS(合計12時間)(%),元データ項目,-,-,
注文獲得単価(合計12時間),元データ項目,-,-,
売上金額(合計720時間),直近30日間の売上合計,-,収益性のメイン指標,
売上件数(合計720時間),直近30日間の成約数,-,CVR分析用,
CVR(合計720時間)(%),直近30日間の成約率,5%以上,商品ページ改善,
ROAS(合計720時間)(%),直近30日間の投資効率,1000%以上,不調d削除 / 好調u強化,
注文獲得単価(合計720時間),元データ項目,-,-,
